
2022/05/29 (21:56:31) | ===> btop++ v.1.2.6
2022/05/29 (21:56:31) | INFO: Logger set to INFO

2022/08/24 (17:05:21) | ===> btop++ v.1.2.8
2022/08/24 (17:05:21) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:39:31) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:43:22) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:43:33) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:43:43) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:43:51) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:43:58) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:45:43) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:45:54) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:46:03) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:46:27) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:47:27) | ERROR: Stall in Runner thread, restarting!
2022/08/24 (17:47:39) | ERROR: Stall in Runner thread, restarting!

2022/08/29 (15:50:33) | ===> btop++ v.1.2.8
2022/08/29 (15:50:33) | ERROR: Stall in Runner thread, restarting!
2022/08/29 (15:50:46) | ERROR: Stall in Runner thread, restarting!

2022/08/29 (17:42:05) | ===> btop++ v.1.2.8
2022/08/29 (17:42:06) | ERROR: Stall in Runner thread, restarting!

2022/09/06 (17:06:32) | ===> btop++ v.1.2.9
2022/09/06 (17:06:32) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/09/06 (17:06:39) | ===> btop++ v.1.2.9
2022/09/06 (17:06:39) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)
